crosswalk_id,tube,on,off,distance
06-0000013270,가양,20669.30769230769,20122.74358974359,541.2185444362988
06-0000036905,마곡나루,21288.871794871797,20787.07692307692,541.3493545644232
06-0000045668,발산,19879.82051282051,20772.97435897436,541.3827099692959
06-0000003608,양천향교,8965.923076923076,9118.794871794871,541.8915522222131
06-0000013018,염창,16735.410256410258,16139.615384615385,542.1793186717082
06-0000044392,마곡,9872.205128205129,9996.28205128205,542.637277816854
06-0000034387,마곡나루,21288.871794871797,20787.07692307692,542.7568391222884
06-0000026684,양천향교,8965.923076923076,9118.794871794871,543.0299156366066
06-0000027778,우장산,13611.076923076924,13370.076923076924,543.2805392679438
06-0000049556,마곡나루,21288.871794871797,20787.07692307692,543.6607630220911
06-0000012171,양천향교,8965.923076923076,9118.794871794871,543.6730352031584
06-0000026683,양천향교,8965.923076923076,9118.794871794871,544.0836238657628
06-0000049553,마곡나루,21288.871794871797,20787.07692307692,544.2333236198092
06-0000030700,신방화,6518.641025641025,6320.307692307692,545.5537919794378
06-0000012458,등촌,10748.333333333334,10268.076923076924,546.0809414129716
06-0000011840,화곡,27246.28205128205,25422.128205128207,546.1477872779122
06-0000035039,양천향교,8965.923076923076,9118.794871794871,546.2502760562932
06-0000028755,마곡,9872.205128205129,9996.28205128205,546.5850597592405
06-0000012637,화곡,27246.28205128205,25422.128205128207,547.1165624138463
06-0000045691,신방화,6518.641025641025,6320.307692307692,547.2313933724267
06-0000012169,양천향교,8965.923076923076,9118.794871794871,547.6982689513914
06-0000035042,양천향교,8965.923076923076,9118.794871794871,547.972003212553
06-0000012173,양천향교,8965.923076923076,9118.794871794871,548.7553956230457
